Title,Location,Name,Relationship,Date,Source,Reference
"Sea Lake, Sea Lake",Sea Lake (Vic.),"Dillon, John",Licensee,1902-1904,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949","Reference: Volume 9, page 164"
"Post Office, Beechworth",Camp St (Beechworth Vic.),"Donaldson, T R",Licensee,1902-1904,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949","Reference: Volume 5, page 171"
"Criterion, Yarrawonga",Yarrawonga (Vic.),"Edwards, Mary",Licensee,1902-1904,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949","Reference: Volume 10, page 265"
"Victorian Alps, Macedon",Macedon (Vic.),Float,Other,1902-1904,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949","Reference: Volume 8, page 90"
"Railway Gate, Numurkah",Numurkah (Vic.),"Foristal, E",Licensee,1902-1904,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949","Reference: Volume 8, page 349"
"Telegraph, Numurkah",Numurkah (Vic.),"Forrest, R",Licensee,1902-1904,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949","Reference: Volume 8, page 352"
"Golden Fleece, Charlton",Charlton (Vic.),"Fowler, W",Licensee,1902-1904,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949","Reference: Volume 6, page 56"
"Royal Victoria, Cobram",Cobram (Vic.),"Gedye, A M",Licensee,1902-1904,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949","Reference: Volume 6, page 119"
"Builders Arms, Bendigo",Mitchell St (Bendigo Vic.),"Grellis, M",Licensee,1902-1904,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949","Reference: Volume 12, page 1"
"Northumberland Arms, Heathcote",Heathcote (Vic.),"Hardacre, J W",Licensee,1902-1904,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949","Reference: Volume 7, page 187"
"Commercial, Colac",Murray St (Colac Vic.),"Hodgens, M",Licensee,1902-1904,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949","Reference: Volume 6, page 128"
"Gaythorne, Gisborne",Gisborne (Vic.),"Kelly, J",Licensee,1902-1904,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949","Reference: Volume 7, page 83"
"Shamrock, Bendigo",Pall Mall (Bendigo Vic.),"Levy, Montague",Licensee,1902-1904,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949","Reference: Volume 12, page 1"
"Metropolitan, Castlemaine",Mostyn St (Castlemaine Vic.),"Lewis, W",Licensee,1902-1904,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949","Reference: Volume 6, page 36"
"Railway, Beaufort",Beaufort (Vic.),"Loft, J C",Licensee,1902-1904,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949","Reference: Volume 5, page 156"
"Hibernian, Beechworth",Camp St (Beechworth Vic.),"Maher, A",Licensee,1902-1904,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949","Reference: Volume 5, page 167"
"Yackandandah, Yackandandah",Yackandandah (Vic.),"Martin, Jno",Licensee,1902-1904,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949","Reference: Volume 10, page 247"
"Commercial, Echuca",corner High & Heygarth Sts (Echuca Vic.),"Mather, M A",Licensee,1902-1904,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949","Reference: Volume 6, page 323"
"Kent, Bendigo",corner Wills & Mitchell Sts (Bendigo Vic.),"McCallum, F T",Licensee,1902-1904,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949","Reference: Volume 12, page 1"
"Cricket Club, Donald",Donald (Vic.),"McCarthy, A",Licensee,1902-1904,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949","Reference: Volume 6, page 262"
"Commercial, Tungamah",Tungamah (Vic.),"McIntyre, C",Licensee,1902-1904,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949","Reference: Volume 10, page 45"
"Federal, Echuca",Echuca (Vic.),"Noble, J",Licensee,1902-1904,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949","Reference: Volume 6, page 330"
"Federal, Echuca",Echuca (Vic.),"Noble, J",Licensee,1902-1904,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949","Reference: Volume 6, page 330"
"Shepparton, Shepparton",Shepparton (Vic.),"OCallaghan, M",Licensee,1902-1904,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949","Reference: Volume 9, page 185"
"Royal, Echuca",Echuca (Vic.),"OCallaghan, R A",Licensee,1902-1904,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949","Reference: Volume 6, page 342"
"Caledonia, Murchison",corner Bendigo & Tatura Rds (Murchison Vic.),"Read, Edward",Licensee,1902-1904,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949","Reference: Volume 8, page 257"
"Nagambie, Nagambie",High St (Nagambie Vic.),"Ryan, R",Licensee,1902-1904,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949","Reference: Volume 8, page 288"
"Daylesford, Daylesford",corner Vincent & Victoria Sts (Daylesford Vic.),"Tognini, E H",Licensee,1902-1904,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949","Reference: Volume 6, page 213"
"Commercial & Family, Beechworth",Ford St (Beechworth Vic.),"Transwell, J",Licensee,1902-1904,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949","Reference: Volume 5, page 164"
"Britannia, Bendigo",Pall Mall (Bendigo Vic.),"Turner, James",Licensee,1902-1904,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949","Reference: Volume 12, page 1"
"Exchange, Rosedale",Rosedale (Vic.),"Ward, John",Licensee,1902-1904,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949","Reference: Volume 9, page 112"
"Criterion, Wangaratta",Murphy St (Wangaratta Vic.),"Whitburn, Wm H",Licensee,1902-1904,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949","Reference: Volume 10, page 100"
"Red Lion, Dunolly",Dunolly (Vic.),"Wooltorton, W",Licensee,1902-1904,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949","Reference: Volume 6, page 304"
"Bridge, Elmore",Elmore (Vic.),"Clarke, E A",Licensee,1902-1905,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949","Reference: Volume 7, page 10"
"Bull & Mouth, Avoca",Avoca (Vic.),"Emerson, A",Licensee,1902-1905,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949","Reference: Volume 5, page 72"
"Mechanics, Bendigo",McRae St (Bendigo Vic.),"Galvin, James",Licensee,1902-1905,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949","Reference: Volume 12, page 1"
"Wahgunyah, Wahgunyah",Wahgunyah (Vic.),"Gill, S B",Licensee,1902-1905,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949","Reference: Volume 10, page 69"
"Western, Warrnambool",Warrnambool (Vic.),"Hillier, Thomas G L",Licensee,1902-1905,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949","Reference: Volume 10, page 155"
"Black Swan, Bendigo",corner McRae & Howard Sts (Bendigo Vic.),"James, John",Licensee,1902-1905,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949","Reference: Volume 12, page 1"
"Bridge, Rosedale",Rosedale (Vic.),"Kenevan, M",Licensee,1902-1905,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949","Reference: Volume 9, page 111"
"Mornington, Cranbourne",Cranbourne (Vic.),"Lang, W B",Licensee,1902-1905,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949","Reference: Volume 6, page 171"
"Commercial, Birchip",Birchip (Vic.),"Lennon, F M",Licensee,1902-1905,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949","Reference: Volume 5, page 217"
"Ship Inn, Port Albert",Port Albert (Vic.),"Lindsay, G F",Licensee,1902-1905,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949","Reference: Volume 9, page 24"
"Rifle Brigade, Bendigo",corner View & Rowan Sts (Bendigo Vic.),"Lordan, M",Licensee,1902-1905,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949","Reference: Volume 12, page 1"
"Swansea Arms, Murchison",Murchison (Vic.),"Lyons, Patrick",Licensee,1902-1905,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949","Reference: Volume 8, page 260"
"Exchange, Foster",Foster (Vic.),"Makeham, S",Licensee,1902-1905,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949","Reference: Volume 7, page 50"
"Commercial, Yea",Yea (Vic.),"McGrath, P",Licensee,1902-1905,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949","Reference: Volume 10, page 275"
"Star, Yackandandah",Yackandandah (Vic.),"McKay, J S",Licensee,1902-1905,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949","Reference: Volume 10, page 245"
"White Hart, Horsham",Horsham (Vic.),"Newton, S",Licensee,1902-1905,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949","Reference: Volume 7, page 225"
"Farmers Arms, Nathalia",Nathalia (Vic.),"OBrien, John",Licensee,1902-1905,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949","Reference: Volume 8, page 298"
"Oriental, Bendigo",corner Queen & Edward Sts (Bendigo Vic.),"Parker, R",Licensee,1902-1905,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949","Reference: Volume 12, page 1"
"Commercial, Wangaratta",Murphy St (Wangaratta Vic.),"Pasquan, J",Licensee,1902-1905,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949","Reference: Volume 10, page 98"
"Imperial, Rushworth",Rushworth (Vic.),"Ryan, J",Licensee,1902-1905,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949","Reference: Volume 9, page 125"
"Albion, Beechworth",Ford St (Beechworth Vic.),"Saunders, J",Licensee,1902-1905,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949","Reference: Volume 5, page 161"
"Club, Mirboo North",Mirboo North (Vic.),"Stanton, B",Licensee,1902-1905,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949","Reference: Volume 8, page 183"
"Railway, Warracknabeal",Warracknabeal (Vic.),"Stewart, J",Licensee,1902-1905,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949","Reference: Volume 10, page 117"
"Durham Ox, Bendigo",Townsend St (Bendigo Vic.),"Taylor, John",Licensee,1902-1905,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949","Reference: Volume 12, page 1"
"Railway, Horsham",Horsham (Vic.),,Not identified,1902-1905,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949","Reference: Volume 7, page 220"
"Mt Wycheproof, Wycheproof",Wycheproof (Vic.),"Allan, M E",Licensee,1902-1906,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949","Reference: Volume 10, page 234"
"Mount Alexander, Castlemaine",Mostyn St (Castlemaine Vic.),"Andrews, W",Licensee,1902-1906,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949","Reference: Volume 6, page 36"
"Junction, Bendigo",corner Williamson & Sheepwash Sts (Bendigo Vic.),"Brownlee, E",Licensee,1902-1906,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949","Reference: Volume 12, page 1"
"Albert, Daylesford",Daylesford (Vic.),"Burgess, Alfred G",Licensee,1902-1906,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949","Reference: Volume 6, page 210"
"Beehive Mining Exchange, Bendigo",Pall Mall (Bendigo Vic.),"Burridge, H",Other,1902-1906,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949","Reference: Volume 12, page 1"
"Hopetoun, Bendigo",corner Wills & Mitchell Sts (Bendigo Vic.),"Carr, John",Licensee,1902-1906,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949","Reference: Volume 12, page 1"
"Commercial, Warrnambool",Warrnambool (Vic.),"Churchyard, John J",Licensee,1902-1906,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949","Reference: Volume 10, page 137"
"Law Courts, Bendigo",corner Pall Mall & Bull St (Bendigo Vic.),"Conolan, M",Licensee,1902-1906,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949","Reference: Volume 12, page 1"
"Royal, Kerang",Kerang (Vic.),"Donaldson, John",Licensee,1902-1906,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949","Reference: Volume 7, page 298"
"Market, Bendigo",Mundy St (Bendigo Vic.),"Dunne, J",Licensee,1902-1906,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949","Reference: Volume 12, page 1"
"Butts, Bendigo",corner Williams & McLaren Sts (Bendigo Vic.),"Edwards, A",Not identified,1902-1906,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949","Reference: Volume 12, page 1"
"Victoria, Dunolly",Thompson St (Dunolly Vic.),"Game, A E",Licensee,1902-1906,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949","Reference: Volume 6, page 310"
"Royal, Sea Lake",Sea Lake (Vic.),"Garden, M A",Other,1902-1906,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949","Reference: Volume 9, page 163"
"McRae St, Bendigo",McRae St (Bendigo Vic.),"Gearon, M",Licensee,1902-1906,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949","Reference: Volume 12, page 1"
"Telegraph, Rushworth",Rushworth (Vic.),"Geyle, E L",Licensee,1902-1906,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949","Reference: Volume 9, page 128"
"Yarram, Yarram",Yarram Yarram (Vic.),"Henry, K",Licensee,1902-1906,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949","Reference: Volume 10, page 262"
"Kent Brewery, Bendigo",corner McRae & Bernal Sts (Bendigo Vic.),Hunter Bros,Other,1902-1906,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949","Reference: Volume 12, page 1"
"Club, Westbury",Moe Westbury (Vic.),"Long, Henry",Licensee,1902-1906,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949","Reference: Volume 8, page 190"
"Railway, Bendigo",Mitchell St (Bendigo Vic.),"Mann, A",Licensee,1902-1906,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949","Reference: Volume 12, page 1"
"Criterion, Bendigo",corner Mundy & Dowling Sts (Bendigo Vic.),"McDevitt, Hugh",Licensee,1902-1906,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949","Reference: Volume 12, page 1"
"Macs, Glenthompson",Glen Thompson (Vic.),"McLellan, A F",Licensee,1902-1906,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949","Reference: Volume 7, page 104"
"Farmers Arms, Violet Town",Violet Town (Vic.),"Miller, William A",Licensee,1902-1906,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949","Reference: Volume 10, page 56"
"Railway, Inglewood",Inglewood (Vic.),"Molloy, Wm",Licensee,1902-1906,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949","Reference: Volume 7, page 245"
"Railway, Myrtleford",Myrtleford (Vic.),"Moore, J J",Licensee,1902-1906,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949","Reference: Volume 8, page 284"
"Masonic, Bendigo",View St (Bendigo Vic.),"Nicolai, Robt F",Licensee,1902-1906,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949","Reference: Volume 12, page 1"
"Olympic, Bendigo",corner Mitchell & Queen Sts (Bendigo Vic.),"ODonnell, Thos",Licensee,1902-1906,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949","Reference: Volume 12, page 1"
"Star & Garter, Bendigo",corner Mitchell & Miller Sts (Bendigo Vic.),"Polgrean, J",Licensee,1902-1906,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949","Reference: Volume 12, page 1"
"Carriers Arms, Wodonga",Hume St (Wodonga Vic.),"Powell, M A",Licensee,1902-1906,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949","Reference: Volume 10, page 201"
"Exchange, Bendigo",Pall Mall (Bendigo Vic.),"Ryan, John",Licensee,1902-1906,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949","Reference: Volume 12, page 1"
"Lilydale Hotel & Store, Lilydale",Lilydale (Vic.),"Ryan, M",Licensee,1902-1906,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949","Reference: Volume 8, page 50"
"Rock of Cashel, Bendigo",Mundy St (Bendigo Vic.),"Sinclair, R",Licensee,1902-1906,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949","Reference: Volume 12, page 1"
"Grand Central, Cobram",Cobram (Vic.),"Stewart, William",Licensee,1902-1906,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949","Reference: Volume 6, page 118"
"Victoria, Bendigo",Pall Mall (Bendigo Vic.),"Sullivan, M",Licensee,1902-1906,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949","Reference: Volume 12, page 1"
"Numurkah, Numurkah",Numurkah (Vic.),"Tease, Arthur",Licensee,1902-1906,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949","Reference: Volume 8, page 348"
"Pelican Hotel & Berlin Coach Office, Inglewood",Inglewood (Vic.),"Trevean, M",Licensee,1902-1906,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949","Reference: Volume 7, page 244"
"Bridge, Bacchus Marsh",Bacchus Marsh (Vic.),"Vallance, James L",Licensee,1902-1906,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949","Reference: Volume 5, page 86"
"Dimboola, Dimboola",Dimboola (Vic.),"Warne, Alf",Licensee,1902-1906,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949","Reference: Volume 6, page 256"
"Brougham Arms, Bendigo",corner Williamson & Brougham Sts (Bendigo Vic.),"Wigney, Geo",Licensee,1902-1906,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949","Reference: Volume 12, page 1"
"Cricketers Arms, Mooroopna",Main St (Mooroopna Vic.),"Barrett, R M",Licensee,1902-1907,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949","Reference: Volume 8, page 206"
"Railway, East Murchison",Murchison East (Vic.),"Barry, E R",Licensee,1902-1907,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949","Reference: Volume 8, page 262"
"George, Beaufort",Beaufort (Vic.),"Broadbent, C",Licensee,1902-1907,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949","Reference: Volume 5, page 154"
"Hotel De Paris, Chiltern",Chiltern (Vic.),"Burke, C M",Licensee,1902-1907,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949","Reference: Volume 6, page 76"
"Briagolong, Briagolong",Briagolong (Vic.),"Chambers, E L",Licensee,1902-1907,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949","Reference: Volume 5, page 257"
"Donald, Donald",Donald (Vic.),"Ford, John",Licensee,1902-1907,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949","Reference: Volume 6, page 263"
"Commercial, Gisborne",Aitken St (Gisborne Vic.),"Hann, S",Licensee,1902-1907,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949","Reference: Volume 7, page 86"
"Cobram, Cobram",Cobram (Vic.),"Humberstone, W R",Licensee,1902-1907,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949","Reference: Volume 6, page 117"
"Duke of Edinburgh, Maldon",Maldon (Vic.),"Jones, G T",Licensee,1902-1907,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949","Reference: Volume 8, page 106"
"Empire, Beechworth",corner Camp & High Sts (Beechworth Vic.),"Kelly, E J",Licensee,1902-1907,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949","Reference: Volume 5, page 165"
"Royal, Warracknabeal",Warracknabeal (Vic.),"Kershaw, George",Licensee,1902-1907,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949","Reference: Volume 10, page 118"
"Court House, Kilmore",Sydney St (Kilmore Vic.),"Locht, K",Licensee,1902-1907,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949","Reference: Volume 7, page 309"
"Telegraph, Chiltern",Chiltern (Vic.),"Mahoney, E",Licensee,1902-1907,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949","Reference: Volume 6, page 79"
"Globe, Charlton",Charlton (Vic.),"Murdoch, J",Licensee,1902-1907,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949","Reference: Volume 6, page 54"
"New Family, Drouin",Drouin (Vic.),"OBrien, M",Licensee,1902-1907,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949","Reference: Volume 6, page 285"
"Royal Mail, Numurkah",Numurkah (Vic.),"OKeefe, S E",Licensee,1902-1907,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949","Reference: Volume 8, page 350"
"Goulburn, Seymour",Seymour (Vic.),"OReilly, Charles P",Licensee,1902-1907,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949","Reference: Volume 9, page 170"
"Royal Mail, Chiltern",Chiltern (Vic.),"Peel, Thomas",Licensee,1902-1907,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949","Reference: Volume 6, page 77"
"Club, Morwell",Morwell (Vic.),"Reidy, M",Licensee,1902-1907,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949","Reference: Volume 8, page 228"
"Club, Warracknabeal",Warracknabeal (Vic.),"Stevens, Isaac",Licensee,1902-1907,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949","Reference: Volume 10, page 114"
"Unicorn, Clunes",Clunes (Vic.),"Thomas, T",Licensee,1902-1907,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949","Reference: Volume 6, page 114"
"Ten Mile Hotel Store & Post Office, Ten Mile",Ten Mile (Vic.),Allen,Licensee,1902-1908,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949","Reference: Volume 9, page 346"
"Court House, Kyneton",Hutton St (Kyneton Vic.),"Dempsey, T J",Licensee,1902-1908,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949","Reference: Volume 7, page 353"
"Kilmore, Kilmore",Sydney St (Kilmore Vic.),"Kenyon, K",Licensee,1902-1908,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949","Reference: Volume 7, page 311"
"White Hart Hotel & Store, Mirboo North",Mirboo North (Vic.),"Miles, Shirley",Licensee,1902-1908,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949","Reference: Volume 8, page 185"
"Bendigo, Dunolly",Dunolly (Vic.),"Samers, William R",Licensee,1902-1908,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949","Reference: Volume 6, page 300"
"Racecourse, Benalla",Commercial Rd (Benalla Vic.),"Sheridan, P J",Licensee,1902-1908,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949","Reference: Volume 5, page 192"
"Port Albert, Port Albert",Port Albert (Vic.),"Smith, M M",Licensee,1902-1908,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949","Reference: Volume 9, page 23"
"Bicycle Club, Stawell",Napier St (Stawell Vic.),"Berndt, F A",Licensee,1902-1909,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949","Reference: Volume 9, page 241"
"Austral, Korumburra",Korumburra (Vic.),"Condon, James",Licensee,1902-1909,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949","Reference: Volume 7, page 370"
"Commercial, Warracknabeal",Warracknabeal (Vic.),"Franklin, James",Licensee,1902-1909,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949","Reference: Volume 10, page 115"
"Bucks Head, Drysdale",Drysdale (Vic.),"Gittings, L",Licensee,1902-1909,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949","Reference: Volume 6, page 293"
"Glasgow Arms, Talbot",Talbot (Vic.),"Hadenfeldt, E",Licensee,1902-1909,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949","Reference: Volume 9, page 311"
"Royal, Dunolly",Dunolly (Vic.),"Hayes, F",Licensee,1902-1909,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949","Reference: Volume 6, page 306"
"Richmond Family, Portland",Bentinck St (Portland Vic.),"Housen, S W",Licensee,1902-1909,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949","Reference: Volume 9, page 43"
"Wheatsheaf, Terang",High St (Terang Vic.),"Kucks, W Jun",Licensee,1902-1909,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949","Reference: Volume 9, page 350"
"Victoria, Port Fairy",42 Bank St (Port Fairy Vic.),"Maloney, John E",Licensee,1902-1909,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949","Reference: Volume 9, page 36"
"Commercial, Ballan",Ballan (Vic.),"McCoppin, M",Licensee,1902-1909,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949","Reference: Volume 5, page 105"
"Albion, Bairnsdale",Bairnsdale (Vic.),"McDonald, Frank",Licensee,1902-1909,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949","Reference: Volume 5, page 94"
"Tallangatta, Tallangatta",Tallangatta (Vic.),"McKay, J",Licensee,1902-1909,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949","Reference: Volume 9, page 317"
"Royal, Nhill",Nhill (Vic.),"McNeven, Joseph",Licensee,1902-1909,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949","Reference: Volume 8, page 337"
"Court House, Talbot",Camp St (Talbot Vic.),"McPhee, C C",Licensee,1902-1909,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949","Reference: Volume 9, page 309"
"Royal George, Donald",Donald (Vic.),"Morgan, W A",Licensee,1902-1909,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949","Reference: Volume 6, page 268"
"Railway Commercial, Yea",Station St (Yea Vic.),"Oliver, W",Licensee,1902-1909,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949","Reference: Volume 10, page 276"
"Railway, Castlemaine",Graves St (Castlemaine Vic.),"Reddy, F A",Licensee,1902-1909,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949","Reference: Volume 6, page 38"
"Star, Traralgon",Traralgon (Vic.),"Rogers, James",Licensee,1902-1909,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949","Reference: Volume 10, page 29"
"Royal Mail, Wycheproof",Wycheproof Broadway (Vic.),"Stagg, M C",Licensee,1902-1909,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949","Reference: Volume 10, page 237"
"Albion, Kyabram",Kyabram (Vic.),"Tucker, M J",Licensee,1902-1909,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949","Reference: Volume 7, page 346"
"Cranbourne, Cranbourne",Cranbourne (Vic.),"Cashman, J J",Licensee,1902-1910,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949","Reference: Volume 6, page 170"
